Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4958323200,4989880800,5022642.890479,0
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,5.4102,29.78469183517,0
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,0
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0
4,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: initial mass multiplier,1e-13,1,1,0
5,j0p0MGALT: phase flight time,5184001,194983200,5022642.890479,0
6,j0p0MGALTEphemerisPeggedLTRendezvous: event left state mass,1e-13,10000,10000,0
7,j0p0MGALT: virtual chemical fuel,0,10000,10000,0
8,j0p0MGALT: virtual electric propellant,0,10000,10000,0
9,j0p0MGALT: step 0 u_x,-1,1,1,0
10,j0p0MGALT: step 0 u_y,-1,1,1,0
11,j0p0MGALT: step 0 u_z,-1,1,1,0
12,j0p0MGALT: step 1 u_x,-1,1,1,0
13,j0p0MGALT: step 1 u_y,-1,1,1,0
14,j0p0MGALT: step 1 u_z,-1,1,1,0
15,j0p0MGALT: step 2 u_x,-1,1,1,0
16,j0p0MGALT: step 2 u_y,-1,1,1,0
17,j0p0MGALT: step 2 u_z,-1,1,1,0
18,j0p0MGALT: step 3 u_x,-1,1,1,0
19,j0p0MGALT: step 3 u_y,-1,1,1,0
20,j0p0MGALT: step 3 u_z,-1,1,1,0
21,j0p0MGALT: step 4 u_x,-1,1,1,0
22,j0p0MGALT: step 4 u_y,-1,1,1,0
23,j0p0MGALT: step 4 u_z,-1,1,1,0
24,j0p0MGALT: step 5 u_x,-1,1,1,0
25,j0p0MGALT: step 5 u_y,-1,1,1,0
26,j0p0MGALT: step 5 u_z,-1,1,1,0
27,j0p0MGALT: step 6 u_x,-1,1,1,0
28,j0p0MGALT: step 6 u_y,-1,1,1,0
29,j0p0MGALT: step 6 u_z,-1,1,1,0
30,j0p0MGALT: step 7 u_x,-1,1,1,0
31,j0p0MGALT: step 7 u_y,-1,1,1,0
32,j0p0MGALT: step 7 u_z,-1,1,1,0
33,j0p0MGALT: step 8 u_x,-1,1,1,0
34,j0p0MGALT: step 8 u_y,-1,1,1,0
35,j0p0MGALT: step 8 u_z,-1,1,1,0
36,j0p0MGALT: step 9 u_x,-1,1,1,0
37,j0p0MGALT: step 9 u_y,-1,1,1,0
38,j0p0MGALT: step 9 u_z,-1,1,1,0
39,j0p0MGALT: step 10 u_x,-1,1,1,0
40,j0p0MGALT: step 10 u_y,-1,1,1,0
41,j0p0MGALT: step 10 u_z,-1,1,1,0
42,j0p0MGALT: step 11 u_x,-1,1,1,0
43,j0p0MGALT: step 11 u_y,-1,1,1,0
44,j0p0MGALT: step 11 u_z,-1,1,1,0
45,j0p0MGALT: step 12 u_x,-1,1,1,0
46,j0p0MGALT: step 12 u_y,-1,1,1,0
47,j0p0MGALT: step 12 u_z,-1,1,1,0
48,j0p0MGALT: step 13 u_x,-1,1,1,0
49,j0p0MGALT: step 13 u_y,-1,1,1,0
50,j0p0MGALT: step 13 u_z,-1,1,1,0
51,j0p0MGALT: step 14 u_x,-1,1,1,0
52,j0p0MGALT: step 14 u_y,-1,1,1,0
53,j0p0MGALT: step 14 u_z,-1,1,1,0
54,j0p0MGALT: step 15 u_x,-1,1,1,0
55,j0p0MGALT: step 15 u_y,-1,1,1,0
56,j0p0MGALT: step 15 u_z,-1,1,1,0
57,j0p0MGALT: step 16 u_x,-1,1,1,0
58,j0p0MGALT: step 16 u_y,-1,1,1,0
59,j0p0MGALT: step 16 u_z,-1,1,1,0
60,j0p0MGALT: step 17 u_x,-1,1,1,0
61,j0p0MGALT: step 17 u_y,-1,1,1,0
62,j0p0MGALT: step 17 u_z,-1,1,1,0
63,j0p0MGALT: step 18 u_x,-1,1,1,0
64,j0p0MGALT: step 18 u_y,-1,1,1,0
65,j0p0MGALT: step 18 u_z,-1,1,1,0
66,j0p0MGALT: step 19 u_x,-1,1,1,0
67,j0p0MGALT: step 19 u_y,-1,1,1,0
68,j0p0MGALT: step 19 u_z,-1,1,1,0
69,j1p0MGALTEphemerisPeggedFreeDirectDeparture: wait time,63115200,126230400,5022642.890479,0
70,j1p0MGALTEphemerisPeggedFreeDirectDeparture: event left state mass,1e-13,10000,10000,0
71,j1p0MGALT: phase flight time,7776001,194983200,5022642.890479,0
72,j1p0MGALTEphemerisPeggedIntercept: event left state mass,1e-13,10000,10000,0
73,j1p0MGALTEphemerisPeggedIntercept: V_infinity_x,-6,6,29.78469183517,0
74,j1p0MGALTEphemerisPeggedIntercept: V_infinity_y,-6,6,29.78469183517,0
75,j1p0MGALTEphemerisPeggedIntercept: V_infinity_z,-6,6,29.78469183517,0
76,j1p0MGALT: virtual chemical fuel,0,10000,10000,0
77,j1p0MGALT: virtual electric propellant,0,10000,10000,0
78,j1p0MGALT: step 0 u_x,-1,1,1,0
79,j1p0MGALT: step 0 u_y,-1,1,1,0
80,j1p0MGALT: step 0 u_z,-1,1,1,0
81,j1p0MGALT: step 1 u_x,-1,1,1,0
82,j1p0MGALT: step 1 u_y,-1,1,1,0
83,j1p0MGALT: step 1 u_z,-1,1,1,0
84,j1p0MGALT: step 2 u_x,-1,1,1,0
85,j1p0MGALT: step 2 u_y,-1,1,1,0
86,j1p0MGALT: step 2 u_z,-1,1,1,0
87,j1p0MGALT: step 3 u_x,-1,1,1,0
88,j1p0MGALT: step 3 u_y,-1,1,1,0
89,j1p0MGALT: step 3 u_z,-1,1,1,0
90,j1p0MGALT: step 4 u_x,-1,1,1,0
91,j1p0MGALT: step 4 u_y,-1,1,1,0
92,j1p0MGALT: step 4 u_z,-1,1,1,0
93,j1p0MGALT: step 5 u_x,-1,1,1,0
94,j1p0MGALT: step 5 u_y,-1,1,1,0
95,j1p0MGALT: step 5 u_z,-1,1,1,0
96,j1p0MGALT: step 6 u_x,-1,1,1,0
97,j1p0MGALT: step 6 u_y,-1,1,1,0
